anchor_id,anchor,candidate,relation_type,source
12,A small white dogs leaps over the back of a larger dog to chase his toy.,The dogs are baking cookies.,contradiction,snli_gold
12,A small white dogs leaps over the back of a larger dog to chase his toy.,a over to back the toy small leaps larger his dogs chase of white a dog,jumbled,shuffle
12,A small white dogs leaps over the back of a larger dog to chase his toy.,Solaris 10 Could Brighten Sun and two days later his company hit another milestone,distinction,fancyzhx/ag_news
13,"A large group of people in a room, smiling and laughing.","A group of individuals in a room, beaming and muttering.",paraphrase,humarin_t5
13,"A large group of people in a room, smiling and laughing.","A big group of people in a room, smiling and laughing.",synonym,wordnet_mlm
13,"A large group of people in a room, smiling and laughing.","A small group of people in a room, smiling and laughing.",antonym,wordnet_mlm
13,"A large group of people in a room, smiling and laughing.",The people are indoors.,entailment,snli_gold
13,"A large group of people in a room, smiling and laughing.",The people are watching a movie.,neutral,snli_gold
13,"A large group of people in a room, smiling and laughing.",The people are being tortured.,contradiction,snli_gold
13,"A large group of people in a room, smiling and laughing.",laughing large group people in a smiling and room a of,jumbled,shuffle
13,"A large group of people in a room, smiling and laughing.",Cell phone sales keep booming Nokia holds on to its No,distinction,fancyzhx/ag_news
14,A large group of people are enjoying one another's company over coffee at Dunkin' Donuts.,A multitude of individuals are sipping coffee at Dunkin' Donuts.,paraphrase,humarin_t5
14,A large group of people are enjoying one another's company over coffee at Dunkin' Donuts.,A big group of people are enjoying one another's company over coffee at Dunkin' Donuts.,synonym,wordnet_mlm
14,A large group of people are enjoying one another's company over coffee at Dunkin' Donuts.,A small group of people are enjoying one another's company over coffee at Dunkin' Donuts.,antonym,wordnet_mlm
14,A large group of people are enjoying one another's company over coffee at Dunkin' Donuts.,The people are drinking.,entailment,snli_gold
14,A large group of people are enjoying one another's company over coffee at Dunkin' Donuts.,These people are a family.,neutral,snli_gold
14,A large group of people are enjoying one another's company over coffee at Dunkin' Donuts.,The group are enjoying the fresh air.,contradiction,snli_gold
14,A large group of people are enjoying one another's company over coffee at Dunkin' Donuts.,anothers donuts company over large are coffee a dunkin at enjoying one group of people,jumbled,shuffle
14,A large group of people are enjoying one another's company over coffee at Dunkin' Donuts.,Supreme Court Denies Klan Appeal to Anti-Mask Law (Reuters) Reuters - The U,distinction,fancyzhx/ag_news
14,A large group of people are enjoying one another's company over coffee at Dunkin' Donuts.,A large group of people are not enjoying one another's company over coffee at Dunkin' Donuts.,negation,negation_rule
17,"A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.","A rider in a saddle bronc is lifted out of the saddle, but maintains control while riding.",paraphrase,humarin_t5
17,"A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.","A saddle bronc rider has lifted out of the saddle, but keeps his grip during his ride.",synonym,wordnet_mlm
17,"A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.","A saddle bronc rider gets lifted out of the saddle, but loses his grip during his ride.",antonym,wordnet_mlm
17,"A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.",The man rides an animal.,entailment,snli_gold
17,"A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.",The man is trying not to fall.,neutral,snli_gold
17,"A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.",The man is riding a motorcycle.,contradiction,snli_gold
17,"A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.",saddle bronc ride a but rider lifted out grip the his his of keeps gets during saddle,jumbled,shuffle
17,"A saddle bronc rider gets lifted out of the saddle, but keeps his grip during his ride.","Testaverde keeps answering age-old questions LANDOVER, Md",distinction,fancyzhx/ag_news
18,Two men are in a small boat and spraying water at something.,A small boat is being sprayed with water by two men.,paraphrase,humarin_t5
18,Two men are in a small boat and spraying water at something.,Two men are in a little boat and spraying water at something.,synonym,wordnet_mlm
18,Two men are in a small boat and spraying water at something.,Two men are in a big boat and spraying water at something.,antonym,wordnet_mlm
18,Two men are in a small boat and spraying water at something.,Men are in a small boat and spraying water at something.,entailment,snli_gold
18,Two men are in a small boat and spraying water at something.,Two sad men are in a small boat and spraying water at something.,neutral,snli_gold
18,Two men are in a small boat and spraying water at something.,Two women are in a small boat and spraying water at something.,contradiction,snli_gold
18,Two men are in a small boat and spraying water at something.,are and small at a boat spraying in something men two water,jumbled,shuffle
18,Two men are in a small boat and spraying water at something.,Bears have edge in Ogunleye trade (Aug,distinction,fancyzhx/ag_news
18,Two men are in a small boat and spraying water at something.,Two men are not in a small boat and spraying water at something.,negation,negation_rule
19,A small group of people outside a building standing around listening to a saxophone player.,A saxophone player is listened to by a small group of people sitting in the center of .,paraphrase,humarin_t5
19,A small group of people outside a building standing around listening to a saxophone player.,A small group of people outside a building standing about listening to a saxophone player.,synonym,wordnet_mlm
19,A small group of people outside a building standing around listening to a saxophone player.,A large group of people outside a building standing around listening to a saxophone player.,antonym,wordnet_mlm
19,A small group of people outside a building standing around listening to a saxophone player.,Small group of people outside listening to a person play saxophone.,entailment,snli_gold
19,A small group of people outside a building standing around listening to a saxophone player.,Small group of people listening to a street performer outside.,neutral,snli_gold
19,A small group of people outside a building standing around listening to a saxophone player.,Small group of people standing together at an outdoor picnic.,contradiction,snli_gold
19,A small group of people outside a building standing around listening to a saxophone player.,a to a listening of group around standing saxophone outside small people a player building,jumbled,shuffle
19,A small group of people outside a building standing around listening to a saxophone player.,Last of Mercury Astronauts Remember 'Gordo' Cooper (Reuters) Reuters - The last of the seven Project Mercury\astronauts who pioneered U,distinction,fancyzhx/ag_news
20,Four people in black shirts giving a presentation to a room full of people using a big projector image on the wall.,A group of four individuals wearing black shirts were seen using a large projector image on the wall to showcase their work to an audience.,paraphrase,humarin_t5
20,Four people in black shirts giving a presentation to a room full of people using a big projector image on the wall.,Four people in black shirts giving a presentation to a room full of people using a large projector image on the wall.,synonym,wordnet_mlm
20,Four people in black shirts giving a presentation to a room full of people using a big projector image on the wall.,Four people in black shirts giving a presentation to a room empty of people using a big projector image on the wall.,antonym,wordnet_mlm
20,Four people in black shirts giving a presentation to a room full of people using a big projector image on the wall.,Four people give a presentation to a full room of people.,entailment,snli_gold
20,Four people in black shirts giving a presentation to a room full of people using a big projector image on the wall.,A group of people is using a projector to assist in a sales presentation.,neutral,snli_gold
20,Four people in black shirts giving a presentation to a room full of people using a big projector image on the wall.,four birds fly south for the winter,contradiction,snli_gold
20,Four people in black shirts giving a presentation to a room full of people using a big projector image on the wall.,big four a a people a to giving in presentation on image projector people shirts the using of black wall room full,jumbled,shuffle
20,Four people in black shirts giving a presentation to a room full of people using a big projector image on the wall.,"Virginia Tech and Miami challenge for a bowl berth In their first year in the ACC, No",distinction,fancyzhx/ag_news
21,Young Asian art students are focusing on their work in a very large class.,A group of young Asian art students are concentrating on their artwork in a sizable gathering.,paraphrase,humarin_t5
21,Young Asian art students are focusing on their work in a very large class.,Young Asian art students are focusing on their work in a very big class.,synonym,wordnet_mlm
21,Young Asian art students are focusing on their work in a very large class.,Young Asian art students are focusing on their work in a very small class.,antonym,wordnet_mlm
21,Young Asian art students are focusing on their work in a very large class.,Students are learning art.,entailment,snli_gold
21,Young Asian art students are focusing on their work in a very large class.,Students are learning to paint.,neutral,snli_gold
21,Young Asian art students are focusing on their work in a very large class.,Students are eating lunch in McDonalds.,contradiction,snli_gold
21,Young Asian art students are focusing on their work in a very large class.,young their in asian large on focusing work a students very class are art,jumbled,shuffle
21,Young Asian art students are focusing on their work in a very large class.,Jamaicans Flee As Ivan Approaches; 23 Dead ST,distinction,fancyzhx/ag_news
21,Young Asian art students are focusing on their work in a very large class.,Young Asian art students are not focusing on their work in a very large class.,negation,negation_rule
22,A nice looking lady holding a portfolio.,An attractive woman with a portfolio.,paraphrase,humarin_t5
22,A nice looking lady holding a portfolio.,A decent looking lady holding a portfolio.,synonym,wordnet_mlm
22,A nice looking lady holding a portfolio.,A nasty looking lady holding a portfolio.,antonym,wordnet_mlm
22,A nice looking lady holding a portfolio.,A lady is nice looking.,entailment,snli_gold
22,A nice looking lady holding a portfolio.,A lady is applying for a job.,neutral,snli_gold
22,A nice looking lady holding a portfolio.,A lady is holding a cat in each hand.,contradiction,snli_gold
22,A nice looking lady holding a portfolio.,portfolio a a looking nice holding lady,jumbled,shuffle
22,A nice looking lady holding a portfolio.,Sportsview: Sutton Gets Ryder Cup Bill (AP) AP - When U,distinction,fancyzhx/ag_news
23,A man vendor with a bright yellow umbrella and backpack offers his wares to an elderly couple.,A man selling goods carries a bright yellow umbrella and backpack to an elderly couple.,paraphrase,humarin_t5
23,A man vendor with a bright yellow umbrella and backpack offers his wares to an elderly couple.,A man vendor with a bright yellow umbrella and backpack offers his wares to an older couple.,synonym,wordnet_mlm
23,A man vendor with a bright yellow umbrella and backpack offers his wares to an elderly couple.,A man vendor with a dull yellow umbrella and backpack offers his wares to an elderly couple.,antonym,wordnet_mlm
23,A man vendor with a bright yellow umbrella and backpack offers his wares to an elderly couple.,A man has a yellow umbrella.,entailment,snli_gold
23,A man vendor with a bright yellow umbrella and backpack offers his wares to an elderly couple.,A man is trying to overcharge customers for apples,neutral,snli_gold
23,A man vendor with a bright yellow umbrella and backpack offers his wares to an elderly couple.,A man has a red umbrella,contradiction,snli_gold
23,A man vendor with a bright yellow umbrella and backpack offers his wares to an elderly couple.,umbrella backpack his bright offers elderly a an vendor man wares and couple yellow to with a,jumbled,shuffle
23,A man vendor with a bright yellow umbrella and backpack offers his wares to an elderly couple.,Stocks End Up; Techs Gain on Light Volume (Reuters) Reuters - U,distinction,fancyzhx/ag_news
24,"An older woman with a nose ring, silver necklace, and decorative scarf is quietly sitting.","A woman who is older than the girl is sitting quietly, wearing a nose ring, silver jewelry, and decorative scarf.",paraphrase,humarin_t5
24,"An older woman with a nose ring, silver necklace, and decorative scarf is quietly sitting.","An older woman with a nose ring, silver necklace, and decorative scarf is softly sitting.",synonym,wordnet_mlm
24,"An older woman with a nose ring, silver necklace, and decorative scarf is quietly sitting.","An older woman with a nose ring, silver necklace, and decorative scarf is loudly sitting.",antonym,wordnet_mlm
24,"An older woman with a nose ring, silver necklace, and decorative scarf is quietly sitting.",An old woman is sitting.,entailment,snli_gold
24,"An older woman with a nose ring, silver necklace, and decorative scarf is quietly sitting.",An older woman with flamboyant style is sitting down resting.,neutral,snli_gold
24,"An older woman with a nose ring, silver necklace, and decorative scarf is quietly sitting.",An old woman is standing.,contradiction,snli_gold
24,"An older woman with a nose ring, silver necklace, and decorative scarf is quietly sitting.",scarf with a nose woman and ring is quietly an older decorative sitting silver necklace,jumbled,shuffle
24,"An older woman with a nose ring, silver necklace, and decorative scarf is quietly sitting.",Briefly: LinkedIn links a million roundup Plus: AOL gives exclusive sneak peek for fall TV,distinction,fancyzhx/ag_news
24,"An older woman with a nose ring, silver necklace, and decorative scarf is quietly sitting.","An older woman with a nose ring, silver necklace, and decorative scarf is not quietly sitting.",negation,negation_rule
25,A large group of people eating and talking in big hall.,A sizable gathering of individuals conversing and savoring food in a spacious chamber.,paraphrase,humarin_t5
25,A large group of people eating and talking in big hall.,A big group of people eating and talking in big hall.,synonym,wordnet_mlm
25,A large group of people eating and talking in big hall.,A small group of people eating and talking in big hall.,antonym,wordnet_mlm
25,A large group of people eating and talking in big hall.,the people were eating,entailment,snli_gold
25,A large group of people eating and talking in big hall.,the people were at a party,neutral,snli_gold
25,A large group of people eating and talking in big hall.,the man ate alone at the diner,contradiction,snli_gold
25,A large group of people eating and talking in big hall.,people hall a group eating big of and in large talking,jumbled,shuffle
25,A large group of people eating and talking in big hall.,"Bangladeshi hostage in Iraq identified, government appeals for &lt;b&gt;",distinction,fancyzhx/ag_news
26,A chef in white talks to guests about various tomato varieties over a display table of tomatoes and sauces.,Guests are entertained by a chef dressed in white as they show off their tomatoes and sauces.,paraphrase,humarin_t5
26,A chef in white talks to guests about various tomato varieties over a display table of tomatoes and sauces.,A chef in white talks to guests about several tomato varieties over a display table of tomatoes and sauces.,synonym,wordnet_mlm
26,A chef in white talks to guests about various tomato varieties over a display table of tomatoes and sauces.,A chef in black talks to guests about various tomato varieties over a display table of tomatoes and sauces.,antonym,wordnet_mlm
26,A chef in white talks to guests about various tomato varieties over a display table of tomatoes and sauces.,A chef talks to guests about tomatoes.,entailment,snli_gold
26,A chef in white talks to guests about various tomato varieties over a display table of tomatoes and sauces.,A chef who has a peculiar interest in tomatoes talks to guests.,neutral,snli_gold
26,A chef in white talks to guests about various tomato varieties over a display table of tomatoes and sauces.,The chef has never used a stove or oven.,contradiction,snli_gold
26,A chef in white talks to guests about various tomato varieties over a display table of tomatoes and sauces.,tomatoes over about talks display and guests tomato white a a of to sauces table in chef varieties various,jumbled,shuffle
26,A chef in white talks to guests about various tomato varieties over a display table of tomatoes and sauces.,Brown hit hard in return In his first start since breaking his non-pitching hand Sept,distinction,fancyzhx/ag_news
27,A large group of people are enjoying drinks.,A multitude of individuals are sipping cocktails.,paraphrase,humarin_t5
27,A large group of people are enjoying drinks.,A big group of people are enjoying drinks.,synonym,wordnet_mlm
27,A large group of people are enjoying drinks.,A small group of people are enjoying drinks.,antonym,wordnet_mlm
27,A large group of people are enjoying drinks.,The people are drinking.,entailment,snli_gold
27,A large group of people are enjoying drinks.,The people are at a restaurant.,neutral,snli_gold
27,A large group of people are enjoying drinks.,The people are watching a movie.,contradiction,snli_gold
27,A large group of people are enjoying drinks.,of group are people enjoying a drinks large,jumbled,shuffle
27,A large group of people are enjoying drinks.,Holiday spirits are highest for stores that banked on weekend &lt;b&gt;,distinction,fancyzhx/ag_news
27,A large group of people are enjoying drinks.,A large group of people are not enjoying drinks.,negation,negation_rule
28,A large group of sports players in green and white uniforms line up behind a couple trophies.,A couple of trophies are flanked by a multitude of sports enthusiasts in green and white attire.,paraphrase,humarin_t5
28,A large group of sports players in green and white uniforms line up behind a couple trophies.,A big group of sports players in green and white uniforms line up behind a couple trophies.,synonym,wordnet_mlm
28,A large group of sports players in green and white uniforms line up behind a couple trophies.,A small group of sports players in green and white uniforms line up behind a couple trophies.,antonym,wordnet_mlm
28,A large group of sports players in green and white uniforms line up behind a couple trophies.,The large group of players are in a line.,entailment,snli_gold
28,A large group of sports players in green and white uniforms line up behind a couple trophies.,The players are wearing soccer cleats.,neutral,snli_gold
28,A large group of sports players in green and white uniforms line up behind a couple trophies.,Players are standing alone next to each other.,contradiction,snli_gold
28,A large group of sports players in green and white uniforms line up behind a couple trophies.,players line uniforms white green in group of and trophies a sports behind couple a large up,jumbled,shuffle
28,A large group of sports players in green and white uniforms line up behind a couple trophies.,Will analysts stick with Apple this time? com,distinction,fancyzhx/ag_news
30,Little kids stand together and raise their hands in the air.,Young children stand together and raise their hands in the air.,paraphrase,humarin_t5
30,Little kids stand together and raise their hands in the air.,Little kids stand together and lift their hands in the air.,synonym,wordnet_mlm
30,Little kids stand together and raise their hands in the air.,Little kids stand together and lower their hands in the air.,antonym,wordnet_mlm
30,Little kids stand together and raise their hands in the air.,Little children stand together and raise their hands in the air.,entailment,snli_gold
30,Little kids stand together and raise their hands in the air.,Sad little kids stand together and raise their hands in the air.,neutral,snli_gold
30,Little kids stand together and raise their hands in the air.,Little kids stand together and raise their feet in the air.,contradiction,snli_gold
30,Little kids stand together and raise their hands in the air.,the raise together their kids and air hands stand in little,jumbled,shuffle
30,Little kids stand together and raise their hands in the air.,Insurers obligated to pay controversial Marsh fees Placement fees charged by broker Marsh  amp; McLennan Cos,distinction,fancyzhx/ag_news
31,A blond child about three years old is sitting in a small chair and laughing.,A small chair is where a blond child around three years old is sitting and laughing.,paraphrase,humarin_t5
31,A blond child about three years old is sitting in a small chair and laughing.,A blond child about three years old is sitting in a little chair and laughing.,synonym,wordnet_mlm
31,A blond child about three years old is sitting in a small chair and laughing.,A blond child about three years old is sitting in a big chair and laughing.,antonym,wordnet_mlm
31,A blond child about three years old is sitting in a small chair and laughing.,A kid is laughing.,entailment,snli_gold
31,A blond child about three years old is sitting in a small chair and laughing.,A kid is laughing at his mom.,neutral,snli_gold
31,A blond child about three years old is sitting in a small chair and laughing.,A kid is jumping up and down.,contradiction,snli_gold
31,A blond child about three years old is sitting in a small chair and laughing.,in child years and a about small old sitting three a chair laughing is blond,jumbled,shuffle
31,A blond child about three years old is sitting in a small chair and laughing.,"After Delays, Intel Points to Chip-Making Advance (Reuters) Reuters - Intel Corp",distinction,fancyzhx/ag_news
31,A blond child about three years old is sitting in a small chair and laughing.,A blond child about three years old is not sitting in a small chair and laughing.,negation,negation_rule
32,"Two girls and one boy with a shovel, digging in a large pile of dirt.","A large pile of dirt was being dug in by a boy and two girls, each with their own shovel.",paraphrase,humarin_t5
32,"Two girls and one boy with a shovel, digging in a large pile of dirt.","Two girls and one boy with a shovel, digging in a big pile of dirt.",synonym,wordnet_mlm
32,"Two girls and one boy with a shovel, digging in a large pile of dirt.","Two girls and one boy with a shovel, digging in a small pile of dirt.",antonym,wordnet_mlm
32,"Two girls and one boy with a shovel, digging in a large pile of dirt.",Three kids are playing outside.,entailment,snli_gold
32,"Two girls and one boy with a shovel, digging in a large pile of dirt.",Three kids are digging for earthworms.,neutral,snli_gold
32,"Two girls and one boy with a shovel, digging in a large pile of dirt.",Three kids are filing in holes with dirt.,contradiction,snli_gold
32,"Two girls and one boy with a shovel, digging in a large pile of dirt.",shovel large with boy a one of in pile digging two and dirt a girls,jumbled,shuffle
32,"Two girls and one boy with a shovel, digging in a large pile of dirt.","Oracle, Dell, Intel, and EMC join to develop Megagrid SAN FRANCISCO, Calif",distinction,fancyzhx/ag_news
33,A group of people are riding on a tour bus and viewing something interesting out the window.,A group of individuals are observing something fascinating from the side of a tour bus.,paraphrase,humarin_t5
33,A group of people are riding on a tour bus and viewing something interesting out the window.,A group of people are riding on a tour bus and watching something interesting out the window.,synonym,wordnet_mlm
33,A group of people are riding on a tour bus and viewing something interesting out the window.,A group of people are riding on a tour bus and viewing something boring out the window.,antonym,wordnet_mlm
33,A group of people are riding on a tour bus and viewing something interesting out the window.,The tour bus is full of people.,entailment,snli_gold
33,A group of people are riding on a tour bus and viewing something interesting out the window.,A tour group is enjoying a view of the london tower from their bus.,neutral,snli_gold
33,A group of people are riding on a tour bus and viewing something interesting out the window.,A group of people are being led on a musem tour.,contradiction,snli_gold
33,A group of people are riding on a tour bus and viewing something interesting out the window.,group tour of something a and people the on are window out bus viewing riding a interesting,jumbled,shuffle
33,A group of people are riding on a tour bus and viewing something interesting out the window.,"Cops Test Handheld Fingerprint Readers EAGAN, Minn",distinction,fancyzhx/ag_news
33,A group of people are riding on a tour bus and viewing something interesting out the window.,A group of people are not riding on a tour bus and viewing something interesting out the window.,negation,negation_rule
35,A little girl with a bright pink jacket made of yarn peers into a large telescope in her backyard.,"In her backyard, a little girl wears an eye-catching pair of pants made of yarn and twinkle in her light pink jacket.",paraphrase,humarin_t5
35,A little girl with a bright pink jacket made of yarn peers into a large telescope in her backyard.,A little girl with a bright pink jacket made of yarn peers into a big telescope in her backyard.,synonym,wordnet_mlm
35,A little girl with a bright pink jacket made of yarn peers into a large telescope in her backyard.,A little girl with a dull pink jacket made of yarn peers into a large telescope in her backyard.,antonym,wordnet_mlm
35,A little girl with a bright pink jacket made of yarn peers into a large telescope in her backyard.,A girl is looking through a telescope,entailment,snli_gold
35,A little girl with a bright pink jacket made of yarn peers into a large telescope in her backyard.,The girl wants to be an astronomer,neutral,snli_gold
35,A little girl with a bright pink jacket made of yarn peers into a large telescope in her backyard.,The girl is wearing a red jacket,contradiction,snli_gold
35,A little girl with a bright pink jacket made of yarn peers into a large telescope in her backyard.,a backyard her telescope a jacket girl pink large in with peers a bright little yarn made of into,jumbled,shuffle
35,A little girl with a bright pink jacket made of yarn peers into a large telescope in her backyard.,UPDATE 2-GE to buy water treatment company for \$1,distinction,fancyzhx/ag_news
